claim_id	episode_id	date	show	speaker_label	attribution_status	position	paraphrase	anchor_quote	number_stated_and_source	refuting_observation
G-014	4555	2026-09-08	The Grant Williams Podcast	SPEAKER_00	Mike Green (roster-bound, conf 0.83)	line 234	Green explains that leveraged single-stock/sector ETFs like SOXL must rebalance daily to hold constant leverage, so a stock's price move alone forces additional buying (or selling) with no new investor money -- and that at 3x leverage, the underlying index would have needed to rise almost 150%/year just to break even given the realized volatility.	the underlying SOX index had to rise at almost 150% a year	~150%/year required underlying-index return to break even on a 3x-levered ETF at the volatility observed; source: his own calculation	A period of high realized volatility in a 3x-levered ETF's underlying index in which the levered product tracks close to 3x the underlying's actual return rather than decaying as described.
G-015	4555	2026-09-08	The Grant Williams Podcast	SPEAKER_00	Mike Green (roster-bound, conf 0.83)	line 369	Green says the US Treasury's debt-buyback program (begun under Yellen) has been expanded from $2 billion to $4 billion per month, targeting older ('off-the-run') bonds, and that the Treasury has signaled capacity to do this at an almost unlimited scale.	an expanded buyback going from $2 billion a month to $4 billion a month	$2bn/month -> $4bn/month Treasury buybacks; source: his own account of the (unnamed) Treasury announcement, no document cited	Official US Treasury buyback operation data showing no increase from the $2bn/month baseline, or a publicly stated ceiling well below 'almost unlimited.'
G-016	4555	2026-09-08	The Grant Williams Podcast	SPEAKER_00	Mike Green (roster-bound, conf 0.83)	line 442	Green argues the passive bid is no longer just an equity phenomenon: he estimates that 25-35% of incremental bond-market flow now comes through price-insensitive passive vehicles, which he says structurally distorts fixed-income pricing because that buyer keeps buying 'regardless' of price.	about 25% to 35% of the incremental flow in the bond market	25-35% of incremental bond-market flow via passive bid; source: his own ('Tier 1') flow-tracking work, no external citation	Bond-fund flow data showing passive/index bond funds are a small and stable (not 25-35%-of-incremental-flow) share of net bond buying.
G-017	4555	2026-09-08	The Grant Williams Podcast	SPEAKER_00	Mike Green (roster-bound, conf 0.83)	line 298	Green says the ongoing shift of assets from end-of-day-settled mutual funds into continuously-traded ETFs has a 'multiplier' effect, because ETFs require the market to supply liquidity throughout the trading day rather than only in a single end-of-day net settlement.	mutual funds converting to ETFs that actually has a multiplier	none given (qualitative mechanism claim)	Evidence that intraday liquidity demand/responsiveness of a security is unaffected by whether assets tracking it sit in a mutual-fund or ETF wrapper.
G-018	4555	2026-09-08	The Grant Williams Podcast	SPEAKER_00	Mike Green (roster-bound, conf 0.83)	line 259	Green points to newly-created 'Trump accounts' for newborns as a new mandated, default inflow channel into equities, since the only investment choices offered are the S&P 500 or the Vanguard Total Market Index.	You have two choices, the S&P 500 or the Vanguard Total Market Index	none given	Trump-account rules that allow (or default to) cash, bonds, or a broader/actively-managed option rather than only these two index funds.
G-019	4555	2026-09-08	The Grant Williams Podcast	SPEAKER_00	Mike Green (roster-bound, conf 0.83)	line 326	Green's central price-insensitivity argument, via analogy: a growing share of market participants are funds mandated to hold specific securities in fixed proportions regardless of price (like a parent who must buy a Tickle Me Elmo at any price on Christmas Eve), which is what makes the marginal buyer price-insensitive.	looking for Tickle Me Elmo in an increasingly crowded store	none given (illustrative analogy, not a figure)	Evidence that mandated/default-allocation fund flows are in fact price-sensitive at the margin (e.g. contributions or rebalancing pause when valuations are extreme).
G-020	4555	2026-09-08	The Grant Williams Podcast	SPEAKER_00	Mike Green (roster-bound, conf 0.83)	line 148	Green describes Tier 1 Alpha's data infrastructure as tracking roughly 3,500 ETFs plus mutual funds, target-date funds, corporate share buybacks, and insider sales/repurchases, to model how each type of flow hits an individual security.	we're now just over about 3,500 ETFs and also mutual funds	~3,500 ETFs tracked (plus mutual/target-date funds, buybacks, insider activity); source: Tier 1 Alpha's own database	none specific -- an infrastructure/data-coverage claim about his own firm, not independently testable from public data.
G-021	419	2026-05-14	MacroVoices	unnamed speaker in episode 419	UNNAMED - roster confirms 'Mike Green' as the identified guest (SPEAKER_02, title_x_diar conf 0.78) but the downloadable transcript.md carries NO [Speaker] tags at all, so no line can be bound to that label; content follows directly after the host's on-air question and is phrased in the first person consistent with the billed guest answering	line 11 (transcript.md is one unbroken block with no [Speaker] tags or line breaks; quote text is the real locator)	The speaker says the 'passive robot' delivers a continuous, thought-free bid into the market from 401k and retirement-account contributions that does not respond to news, illustrated by saying nobody calls Vanguard or BlackRock to change fund allocations.	the mindless bid coming from the passive robot	none given	A demonstrated, prompt change in passive-fund allocation schemas in response to news or price moves.
G-022	419	2026-05-14	MacroVoices	unnamed speaker in episode 419	UNNAMED - see G-021 note	line 11 (transcript.md is one unbroken block with no [Speaker] tags or line breaks; quote text is the real locator)	The speaker attributes a sharp equity rebound to mechanical rebalancing: a drawdown triggers target-date funds' threshold-based rebalancing out of bonds and into equities, which is described as the most important driver of the recovery.	a target date fund which uses a threshold level for rebalancing	none given	A major equity drawdown-and-recovery episode with documented target-date-fund flows that did NOT rebalance into equities on a threshold basis.
G-023	419	2026-05-14	MacroVoices	unnamed speaker in episode 419	UNNAMED - see G-021 note	line 11 (transcript.md is one unbroken block with no [Speaker] tags or line breaks; quote text is the real locator)	The speaker says a record one-month inflow into equities coincided with a record one-month price gain, and attributes this to mechanical positioning (CTA trend-followers and vol-control strategies rapidly reversing) rather than any 'thoughtful' fundamental reassessment.	we had a record one month flow into equity markets	record one-month equity inflow and record one-month performance (magnitude not stated in this excerpt); source: his own chart, unnamed	The same period's inflows/performance shown to be driven mainly by discretionary buying rather than CTA/vol-control mechanical reversal.
G-024	419	2026-05-14	MacroVoices	unnamed speaker in episode 419	UNNAMED - see G-021 note	line 11 (transcript.md is one unbroken block with no [Speaker] tags or line breaks; quote text is the real locator)	The speaker describes a feedback loop in which trend-following/vol-control strategies forced to cover shorts and hedges drove a rapid VIX collapse, after which shorting the (now-depressed) VIX itself became a further, self-reinforcing source of profit and market calm.	That led to a collapse in the VIX	none given	A comparable short-covering episode in which the VIX collapse does NOT subsequently attract meaningful VIX-shorting flow.
G-025	419	2026-05-14	MacroVoices	unnamed speaker in episode 419	UNNAMED - see G-021 note	line 11 (transcript.md is one unbroken block with no [Speaker] tags or line breaks; quote text is the real locator)	Citing a 2025 academic paper, the speaker argues the historical shift from defined-benefit to defined-contribution retirement plans structurally increased aggregate demand for financial assets, because individuals (unlike a large risk-pooled DB plan) must over-accumulate assets against unknown lifespan risk.	creates an extraordinary outward shift in the aggregate demand	none given numerically (cites a named 2025 paper by 'a gentleman by the name of Coimbra' published in the Financial Analysts Journal, March 2025)	Evidence that DC-plan participants do not systematically over-save relative to DB-plan-implied actuarial funding levels.
G-026	419	2026-05-14	MacroVoices	unnamed speaker in episode 419	UNNAMED - see G-021 note	line 11 (transcript.md is one unbroken block with no [Speaker] tags or line breaks; quote text is the real locator)	The speaker says the conventional 4%-per-year retirement withdrawal guideline has been effectively replaced by a much lower ~2% rate, meaning retirees hold onto (hoard) more of their financial assets, which he says is itself a price-supportive, inflationary force for those assets.	The traditional 4% withdrawal has been replaced by something closer to a 2% withdrawal	4% -> ~2% typical withdrawal rate; source: none given (asserted as an observed practitioner norm)	Survey/plan-administrator data showing retirees' actual withdrawal rates have not fallen from the traditional ~4% guideline.
G-027	419	2026-05-14	MacroVoices	unnamed speaker in episode 419	UNNAMED - see G-021 note	line 11 (transcript.md is one unbroken block with no [Speaker] tags or line breaks; quote text is the real locator)	The speaker previews a forthcoming book arguing that the demand for financial assets created by passive/defined-contribution investing is destroying price discovery, i.e. that the market's most important prices (equity and debt) are increasingly set by mechanical allocation rules rather than analysis.	the book is really actually about the destruction of price discovery	none given (book announcement: 'The Greatest Story Ever Sold: The Unintended Consequences of Passive Investing')	A market-microstructure study finding price-discovery quality (e.g. post-earnings drift, bid-ask informativeness) has not degraded as passive share has risen.
G-028	419	2026-05-14	MacroVoices	unnamed speaker in episode 419	UNNAMED - see G-021 note	line 11 (transcript.md is one unbroken block with no [Speaker] tags or line breaks; quote text is the real locator)	The speaker connects the passive bid directly to the bifurcation between mega-caps and the rest of the market, saying passive flows buy the highest-priced securities disproportionately, which he says is also playing out as a similar split within high-yield credit.	due to the passive bid, as money flows into these strategies	none given	High-yield credit spread data showing no bifurcation between the largest/highest-priced issuers and the rest of the index.
G-029	445	2025-11-13	MacroVoices	unnamed speaker in episode 445	UNNAMED - episode page itself shows '0 speakers/0 identified' (no diarization was run/available for this file) and transcript.md has no [Speaker] tags at all; content immediately follows the host's direct-address question to the billed guest and is phrased in the first person	line 13 (transcript.md is one unbroken block with no [Speaker] tags or line breaks; quote text is the real locator)	The speaker says the single most important driver of the market is a 'mindless bid' from 401k/IRA contributions and other flows into ETFs and mutual funds, which he calls the 'passive factor' and estimates is adding roughly 1,200-1,300 basis points a year of excess performance versus a valuation-driven benchmark.	adding a 12 to 1300 basis points a year in excess performance	'12 to 1300' bps/yr as heard (likely an ASR mis-transcription of '1,200 to 1,300' bps/yr); source: 'my math' (his own model, uncited)	An attribution study finding equity excess returns over this period tracking valuation/fundamentals rather than a ~1,200-1,300bp/yr unexplained residual.
G-030	445	2025-11-13	MacroVoices	unnamed speaker in episode 445	UNNAMED - see G-029 note	line 13 (transcript.md is one unbroken block with no [Speaker] tags or line breaks; quote text is the real locator)	The speaker distinguishes his 'passive bid' explanation for large-cap outperformance from the conventional academic 'size factor,' saying his research shows it is specifically the stocks most exposed to passive buying (correlated with, but not identical to, being the largest) that outperform.	these are really the stocks that are most positively affected	none given	A factor-decomposition study showing large-cap outperformance is fully captured by the standard size factor with no separate 'passive bid' loading.
G-031	445	2025-11-13	MacroVoices	unnamed speaker in episode 445	UNNAMED - see G-029 note	line 13 (transcript.md is one unbroken block with no [Speaker] tags or line breaks; quote text is the real locator)	The speaker credits two SEC rule changes -- the 2019 'ETF rule' (streamlining active-ETF approval) and the September 2020 'derivative rule' (allowing funds to use derivatives for up to 2x the volatility of a stated benchmark) -- with directly enabling the boom in active and leveraged ETFs.	up to two times the volatility of that index	up to 2x benchmark volatility permitted under the derivative rule; source: his own description of SEC rule changes (2019 ETF rule; Sept 2020 derivative rule), no document cited	SEC rulemaking record showing the 2019/2020 rules he describes did not materially change ETF approval timelines or permitted derivatives use.
G-032	445	2025-11-13	MacroVoices	unnamed speaker in episode 445	UNNAMED - see G-029 note	line 13 (transcript.md is one unbroken block with no [Speaker] tags or line breaks; quote text is the real locator)	The speaker says the boom in covered-call-writing ETFs is functionally the same as pre-2008 synthetic corporate debt: investors take on equity downside risk in exchange for an optically high yield, without the covenant protections a real high-yield bond would carry.	it's just synthetically written corporate debt	none given	Covered-call ETF investors shown to have contractual protections comparable to high-yield bond covenants, contrary to the claim.
G-033	445	2025-11-13	MacroVoices	unnamed speaker in episode 445	UNNAMED - see G-029 note	line 13 (transcript.md is one unbroken block with no [Speaker] tags or line breaks; quote text is the real locator)	The speaker rejects the popular 'debasement trade' story for the gold rally, arguing the real driver was China's official-sector buying after the US froze Russia's reserves, offset for a time by US retail selling of gold ETFs -- and that gold could be far higher (he says as high as $10,000) if retail had not been rotating into Bitcoin instead.	the American retail investor stopped selling while China and others continued buying	gold 'could be as high as 10,000' absent Bitcoin-related retail diversification; source: 'my calculation' (his own, uncited)	Central-bank and retail gold-flow data showing the rally was driven primarily by a devaluation/debasement narrative rather than a stop in US retail selling plus continued Chinese official buying.
G-034	445	2025-11-13	MacroVoices	unnamed speaker in episode 445	UNNAMED - see G-029 note	line 13 (transcript.md is one unbroken block with no [Speaker] tags or line breaks; quote text is the real locator)	The speaker gives Meta as an example of how quickly AI-era capital spending is changing large-cap balance sheets, citing a swing from a $70 billion net cash position to a rough estimate of $30-40 billion in net debt.	gone from the $70 billion net positive cash balance	$70bn net cash -> ~$30-40bn net debt (his 'rough estimate') for Meta; source: none given	Meta's reported balance sheet over the same period showing it remained net-cash rather than moving to net debt.
G-035	136	2025-12-19	Forward Guidance	unnamed speaker in episode 136	THIRD-PARTY, not Green's claim - Forward Guidance 'Weekly Roundup' episode with guest Harris Kupperman; speaker label not resolved (episode page not fetched, per brief step 3 instruction to fetch transcript only)	line 13	A speaker credits Green's concentration thesis as having been vindicated: persistent buying keeps a handful of mega-cap stocks rising, concentrating wealth and power with their (mostly insider) owners.	Mike Green's been right	none given (a qualitative endorsement, not a figure)	n/a - this is a third-party assessment of Green, not a falsifiable claim by Green himself.
G-036	2969	2025-05-31	The Grant Williams Podcast	SPEAKER_03 in mention_raw/2969.md	THIRD-PARTY, not Green's claim - guest identified in-conversation as Harley Bassman, Green's colleague/partner at Simplify Asset Management per the introduction; roster not fetched for this MENTION episode per brief step 3, so the SPEAKER_03 label is not formally roster-bound to 'Harley Bassman'	line 120	Green's Simplify colleague Harley Bassman says Green's long-standing passive-investing thesis is relevant to explaining current bond-market conditions.	always talks about passive investing	none given	n/a - third-party endorsement, not a falsifiable claim by Green.
G-037	2991	2025-02-13	The Grant Williams Podcast	unnamed speaker in episode 2991	THIRD-PARTY, not Green's claim - Grant Williams Podcast episode with guest Andrew McDermott; speaker label not resolved (episode page not fetched)	line 52	A speaker frames Green's recent conversations as being about 'index kings' combined with private-equity concentration, drawing a historical parallel to Japanese banks' dominance of global market capitalization before their late-1980s bubble.	this ties together a couple of your recent conversations	'Eight of the top 10 companies in the world' were Japanese banks (historical claim about Japan, not about current markets); source: none given	n/a - this is a third party's framing of what Green's conversations have covered, not a direct Green claim.
G-038	2992	2025-02-02	The Grant Williams Podcast	unnamed speaker in episode 2992	THIRD-PARTY, not Green's claim - Grant Williams Podcast episode with guest Demetri Kofinas; speaker label not resolved (episode page not fetched)	line 1105	A speaker, musing about an eventual reversal of the market's 'endogenous flywheel of capital appreciation,' explicitly notes that such a reversal need not be driven by passive flows specifically -- implicitly distinguishing their own broader speculation from Green's narrower, passive-specific mechanism.	it may be something analogous to what Mike Green	none given	n/a - a host's own speculation that explicitly declines to adopt Green's specific (passive) mechanism; useful as a boundary marker on what Green's argument is/is not, not a claim by Green.
