row_type,figure_label,value_pct,numerator,denominator,as_of,source,how_it_relates_to_greens_figures
derived_calc,"Third-Derivative-derived: index share of domestic-equity FUND assets (2025, latest)",63.3,"index domestic-equity MF+ETF (implied $)","total domestic-equity fund assets, MF+ETF combined (implied $)",year-end 2025,"Derived from ICI Fig 2.6 (19% index / (19%+11% index+active) of stock-market cap -- the market-cap denominator cancels algebraically)","NOT an ICI-published figure -- a Third Derivative calculation. Closely matches Green/Morningstar's ~65% of equity mutual-fund/ETF assets (year-end 2024), supporting that claim once the denominator is equity-fund assets specifically."
ici_factbook_table,"ICI Table 42: index share of domestic-equity MUTUAL FUND assets only, excl. ETFs (2015)",24.66,"index domestic-equity mutual fund net assets ($1,490,006m)","active + index domestic-equity MUTUAL FUND net assets, excludes ETFs ($6,042,433m)",year-end 2015,"ICI 2026 Investment Company Fact Book, Data Table 42 (xls/26-fb-table-42.xlsx)","Precise ICI-tabulated figure, but excludes ETFs entirely, so it understates any ""fund assets"" comparison to Green/Morningstar (65%) or the project note (55%)."
ici_factbook_table,"ICI Table 42: index share of domestic-equity MUTUAL FUND assets only, excl. ETFs (2025)",42.9,"index domestic-equity mutual fund net assets ($5,431,081m)","active + index domestic-equity MUTUAL FUND net assets, excludes ETFs ($12,659,414m)",year-end 2025,"ICI 2026 Investment Company Fact Book, Data Table 42 (xls/26-fb-table-42.xlsx)","Precise ICI-tabulated figure, but excludes ETFs entirely, so it understates any ""fund assets"" comparison to Green/Morningstar (65%) or the project note (55%)."
fed_z1,"Fed Z.1: mutual fund + ETF holdings share of total US corporate equities outstanding (2015Q4)",28.64,"mutual fund holdings ($8,625,329m) + ETF holdings ($1,708,670m) = $10,333,999m","total corporate equities issued/held at market value, all issuer sectors incl. foreign issuance held by US residents ($36,088,148m)",2015-Q4,"Federal Reserve Financial Accounts (Z.1), release of 11 Sep 2026, Table F51.1.s (this is the current-release successor to the table long informally called ""L.223""; series LM893064105 total, LM653064100 mutual funds, LM563064100 ETFs)","Cannot split active vs. passive (per brief). Ceiling check: even ALL mutual fund + ETF holdings (active+passive combined) were only 28.6% of total equities in 2015 -- well short of Green's later ""half"" framing, though Green's claims are for 2025/2026 not 2015."
fed_z1,"Fed Z.1: mutual fund + ETF holdings share of total US corporate equities outstanding (2026Q2, latest)",25.4,"mutual fund holdings ($18,621,486m) + ETF holdings ($12,797,403m) = $31,418,889m","total corporate equities issued/held at market value, all issuer sectors incl. foreign issuance held by US residents ($123,687,233m)",2026-Q2,"Federal Reserve Financial Accounts (Z.1), release of 11 Sep 2026, Table F51.1.s (successor to ""L.223""; series LM893064105 total, LM653064100 mutual funds, LM563064100 ETFs)","Cannot split active vs. passive (per brief). Key finding: even ALL mutual fund + ETF holdings (active+passive combined) are only 25.4% of total US corporate equities in 2026 -- meaning passive alone (a subset of this) cannot support Green's Jan 2025 (45-47%) or Jun 2026 (~50%) claims under a stock-market-value denominator."
fed_z1,"Fed Z.1: mutual fund + ETF holdings share of PUBLICLY TRADED equity only (2015Q4)",40.19,"mutual fund + ETF holdings ($10,333,999m)","publicly traded equity at market value only, excludes closely-held/private equity ($25,711,985m)",2015-Q4,"Federal Reserve Financial Accounts (Z.1), release of 11 Sep 2026, Table F51.1.s memo line (series LM883164115)","Alternate, arguably more literal reading of ""the stock market"" (excludes non-tradable closely-held equity). Still cannot split active/passive. Still well short of Green's ""half."""
fed_z1,"Fed Z.1: mutual fund + ETF holdings share of PUBLICLY TRADED equity only (2026Q2, latest)",33.56,"mutual fund + ETF holdings ($31,418,889m)","publicly traded equity at market value only, excludes closely-held/private equity ($93,607,725m)",2026-Q2,"Federal Reserve Financial Accounts (Z.1), release of 11 Sep 2026, Table F51.1.s memo line (series LM883164115)","Most generous plausible stock-market denominator for fund ownership. Even so, ALL mutual fund + ETF holdings (active+passive) = 33.6%, so passive alone is necessarily smaller -- still short of Green's 45-50% claims. (Numerically close to Chinco & Sammon's 33.5%, but that is a coincidence: different measure -- total fund holdings vs. true passive only -- and a different year, 2026 vs 2021.)"
academic_claim,"Chinco & Sammon: true passive ownership share (headline)",33.5,"AUM tracking 5 major indexes (S&P 500, S&P MidCap 400, Russell 1000, Russell 2000, Nasdaq 100), inferred from reconstitution-day rebalancing volume",US stock market capitalization,2021,"Chinco & Sammon, ""The Passive Ownership Share Is Double What You Think It Is,"" working paper dated 7 Apr 2024, free PDF at alexchinco.com (published in Journal of Financial Economics 2024)","This is the best available independent (non-ICI, non-Green) stock-market-denominated passive-ownership estimate. It is materially below Green's Jan 2025 (45-47%) and Jun 2026 (~50%) claims, though from an earlier year (2021) and a narrower index set; authors note including Vanguard's CRSP-tracked funds would raise it to 38.5%, still below Green's figures."
academic_claim,"Chinco & Sammon: conventional (ICI) index-fund share, same year/denominator",16.0,"disclosed AUM of all US domestic-equity index mutual funds + ETFs (ICI)",US stock market capitalization,2021,"Chinco & Sammon (2024), citing ICI Investment Company Fact Book 2022, Figure 2.9","This is the paper's own benchmark for ""conventional"" -- confirms the paper's ""double"" framing (33.5/16.0 = 2.09x) is accurate as stated in the brief."
academic_claim,"Chinco & Sammon: true passive ownership share, 2015 (trend context, not requested denominator change)",22.06,"AUM tracking 5 major indexes, inferred from reconstitution-day volume",US stock market capitalization,2015,"Chinco & Sammon (2024), Table 3","Supplied for trend context only; brief did not request this year for Chinco & Sammon. Shows the true-passive share was already climbing well before Green's claims (13.4% in 2000 to 33.5% in 2021 per the paper's Table 3)."
