due_date	what_to_observe	resolves	source	status
2027-03-29	FINRA SLATE public dissemination of Rule 10c-1a securities-lending data begins (SEC extension of 28 Jul 2025; reporting compliance 28 Sep 2026). First open US on-loan / cash-collateral series	The securities-lending leg of D3 (cash-collateral reinvestment as a cash-pool driver) becomes measurable from official data for the first time	2026-08-23-D3-Cash-Pools-vs-Asset-Management-Structure.md section 5	OPEN
2027-06-30	Filings covering the quarter ended 30 Jun 2027 — panel lens A's documentary test	Stated in the panel as the resolution quarter for the lens core position	Analysis/Panel_Individual_Reads.md:103	OPEN
2027-12-31	Earliest row of the pre-existing Master Falsifier Calendar section 12.3	Note: this register was written 2 Aug 2026 and its earliest entry is 17 months out, which is WHY the 17 Aug item was missed. Near-term obligations live in prose	Analysis/Forward_Prediction_Register.md section 12.3	OPEN
2028-01-31	NVIDIA Portsmouth $105bn becomes effective on lease commencement (8-K 2026-08-17)	The single largest signed-not-effective item. Until commencement it is contracted, not live	2026-08-22-Guarantee-Stack.md	OPEN
2026-10-01	CHECKED 24 Sep on the verified /hf/ route: Q2 STILL UNPUBLISHED — last_update 2026-06-04, last obs 2026-03-31 (FPF-BORROW_REPO_SUM $3,243bn; FPF-ASSETCLASS_REPO_REVERSEREPO_SUM $1,399bn). Fourth genuine slip (11/17/19/24 Sep), about three weeks past the ~65-day lag. Next check 1 Oct, with the quarter-end cluster. || ROUTE CONFIRMED 22 Sep (it was never broken — C-114) (folded into W2 day, not a parcel): working curl is `curl -sS 'https://data.financialresearch.gov/hf/v1/series/full?mnemonic=FPF-BORROW_REPO_SUM'` (namespace /hf/ — the /v1/series/timeseries?mnemonic=… route returns Invalid mnemonic). Re-checked 22 Sep on working route: Q2 STILL unpublished — last obs 2026-03-31 = $3,243bn; FPF-ASSETCLASS_REPO_REVERSEREPO_SUM last 2026-03-31 = $1,399bn; last_update 2026-06-04. Do not mark DONE on Q1 reprint. Positive signal: aggregation date ≥ 2026-06-30. Prior slips (11/17/19 Sep) stand as non-publication, not wrong-route-only. Re-checked 19 Sep early: Q2 STILL unpublished (last_update 2026-06-04; last obs 2026-03-31). SLIPPED again 17 Sep — Q2 STILL unpublished. API FPF-BORROW_REPO_SUM last obs 2026-03-31 = $3,243bn; reverse-repo asset class last 2026-03-31 = $1,399bn. Note: _research/2026-09-17-OFR-FPF-Q2-Still-Unpublished.md. Re-check 24 Sep; do not mark DONE on Q1 reprint. ORIGINAL/prior text: SLIPPED — checked 11 Sep: the 2026Q2 vintage is NOT YET PUBLISHED. OFR API metadata for FPF-BORROW_REPO_SUM reads schedule.last_update = 2026-06-04 12:52:35 (the Q1 vintage) and the latest observation is 2026-03-31; at Q1's ~65-day lag Q2 was due ~3 Sep, so it is ~8 days late. [Tail restored 23 Sep: the 22 Sep edit cut this field at exactly 1,000 characters, mid-word.] || [C-114] A 21 Sep note here said this row's route did not work and that the slips might be route artefacts. Wrong: that check queried /v1/series/timeseries, not the /hf/ route recorded above. The truncation deleted the note instead of correcting it; the record is CORRECTIONS.md C-114.	Whether the hedge-fund collateral leg kept growing after Q1 while MMF cash was flat — D10; and whether unencumbered cash stays a non-driver (D3 §8) NOW ALSO GATES N2b v2: FPF-ASSETCLASS_REPO_REVERSEREPO_SUM is the hedge-fund cash-lending leg the z_k perimeter test needs (C-070 amendment); a Q2 print extends the series to 2026Q2.	2026-08-23-D3-Cash-Pools-vs-Asset-Management-Structure.md section 8; RESEARCH_STATE.md D10	OPEN
2026-10-06	RE-DATED 15 Sep: ran bin/pull_series.py --only fia and it returned the 2026-03-31 (Q1) vintage - Q2 has NOT landed, contradicting the 'expect Q2 by early Sep' estimate. Latest observed: ccp_im_required_15ccp_fia_bn = 1,071.0 at 2026-03-31. Re-check 6 Oct; if still Q1, the quarterly cadence assumption in this row is wrong and should be re-derived from CME/DTCC posting history. CCP 2026Q2 public quantitative disclosures land (CME posted 2026Q1 on ~28 May; DTCC 28 May; expect Q2 by early Sep). Run bin/pull_series.py --only fia (15-CCP IM 6.1.1); download DTCC's combined workbook and CME's zip for 6.2 composition; save under data/vintages/ccp_pqd_2026Q2/	Whether CCP initial margin kept outgrowing the asset-management complex after 2026Q1 (1,071bn) — the D3 margin leg, and D10(iii)	2026-08-23-Parcel-N3-Collateral-Return.md section 2.1; 2026-08-23-D3-Cash-Pools-vs-Asset-Management-Structure.md section 9	OPEN
2026-09-30	FICC sponsored repo at quarter-end: bin/pull_series.py --only dtcc. Total sponsored was 2,960bn (31 Dec 25), 2,862bn (30 Jun 26), 2,296bn (20 Aug 26). Read OFR's Q2 2026 clearing blog if published	Whether the D8 conduit is shrinking or migrating to bilateral/NCCBR — the 2026 sponsored decline is the reverse of the D8 story	2026-08-23-Parcel-N3-Collateral-Return.md section 2.2; RESEARCH_STATE.md D8	OPEN
2026-09-17	DONE 17 Sep — ISDA-Actrix July 2026 published 15 Sep. Pulled: _research/2026-09-17-ISDA-Actrix-July-2026.md. July ADV $trn: total cleared 7.8; sponsored 2.4 (31.1%); direct 5.4. Sponsored plateau holds on revised series (~31% both Jun/Jul). Prior calendar June 6.5/2.5/4.0 (38.6%) is pre-revision — restated June ~8.0/2.5/5.5. Methodology_Updated.pdf: Sponsored GC added to total cleared; history restated.	Whether the sponsored plateau holds or the drift continues into H2 — and whether direct cleared repo moves with it	2026-08-23-Parcel-D8-Clearing-Return.md section 1d	DONE
2026-09-30	CME Securities Clearing: any launch / first-members press release (trade press said Q3 2026; CMESC had no Members or Users as of 6 Aug 2026 per its own SEC filings 34-106037/34-106131). Check cmegroup.com media room and SEC CMESC rulemaking list for a fee-schedule filing, which the Dec 2025 order says precedes launch	Whether a second Treasury CCA starts taking volume before the cash deadline — the first condition for any CCP-to-CCP migration	2026-08-23-Parcel-D8-Clearing-Return.md section 1c	OPEN
2026-12-31	SEC Treasury clearing mandate — CASH transactions compliance date (34-102487; unchanged as of SEC implementation page 10 Aug 2026). Observe DTCC sponsored CSV and GSD monthly through year-end; DTCC 27 Jul 2026 said >1.2trn of cash cleared daily with 300-400bn still to move. Also ICE repo clearing (planned Q4 2026) — any volume published?	The first dated step-change in the Treasury pipe; whether the year-end G-SIB spike of Dec-25 recurs and whether cash clearing jumps	2026-08-23-Parcel-D8-Clearing-Return.md section 1	OPEN
2027-06-30	SEC Treasury clearing mandate — REPO compliance date (34-102487). Re-pull bin/pull_series.py --only dtcc; read OFR's cleared-share update if any; Actrix June 2027 edition. OFR Aug 2026: 37% of in-scope repo still uncleared, MMFs <50% cleared, hedge-fund reverse repo much less	Whether the remaining ~37% of in-scope repo moves into FICC (or a second CCA), and what it does to sponsored vs direct and to NCCBR	2026-08-23-Parcel-D8-Clearing-Return.md section 1b	OPEN
2026-09-10	DONE 11 Sep — 327/327 Sep filings (filed 2-8 Sep; SEC index count checked), 44,674 positions, 0 errors. 31 Aug vs 31 Jul: all ABCP 101.22 -> 103.94bn (+2.7%); eight tracked families 49.69 -> 50.61bn (+1.9%); Capitolis 8.83 -> 9.69bn (+9.7%) with its legs diverging, HQLA +31.3% vs Ionic -5.2%. Rows in data/series.tsv (2026-09-11T09:49Z); raw archived in data/vintages/nmfp3/. Money-fund-held conduit paper grew in August after falling 6.2% in July (D8b table), so D4's trigger (the conduit channel stopping) is not met on this measure; D4 stays on HOLD. Total ABCP outstanding (FRED ABCOMP) is the broader test, on the 30 Sep row. Tooling fixed the same day: the script now REQUIRES the filing month (before, the month was hard-coded and the docstring's FILING_MONTH did not exist, so an unedited run silently re-fetched August); aggregation is bin/aggregate_nmfp3_families.py. ORIGINAL ROW: Monthly N-MFP3 conduit census: run bin/census_nmfp3_all_positions.py for the Sept filings (= 31 Aug month-end) — the DEFINITIVE script, no name filter and no category filter (C-059; the two narrower scripts are deprecated). Aggregate locally against the verified sponsor map in 2026-08-24-Parcel-D8b-Conduit-Return.md section 2.1. Baseline 31 Jul: ABCP total 101.2bn/139 issuers; named families 56.7bn; non-bank 41.8bn; Chesham 7.16, Verto 5.57, Ionic/Capitolis 5.21, Northcross 5.03. Watch: Ionic (the equity-TRS vehicle) and the four unknown-sponsor names	Whether MMF funding of the securities-backed/aggregator conduits grows into the Sept quarter-end the FT flagged — and whether Ionic's equity-TRS paper expands	2026-08-24-Parcel-D8b-Conduit-Return.md section 2	done
2026-10-10	Monthly N-MFP3 conduit census for the Oct filings (= 30 Sep month-end, a QUARTER-END — read alongside the 30 Sep quarter-end rows): curl the QTR4 index to form_q4.idx, then bin/census_nmfp3_all_positions.py 2026-10, gzip the output into data/vintages/nmfp3/, and run bin/aggregate_nmfp3_families.py on it AND on the 2026-08-31 vintage (the 31 Aug numbers must reproduce first). Watch the Capitolis legs: HQLA (Treasury-repo) vs Ionic (equity TRS).	Whether money-fund conduit funding keeps growing through the Q3 quarter-end, and whether Capitolis's Treasury-repo leg keeps taking share from its equity-TRS leg (D8, D4 trigger)	bin/census_nmfp3_all_positions.py docstring; 2026-08-24-Parcel-D8b-Conduit-Return.md section 2.1; data/series.tsv mmf_* rows	OPEN
2026-09-30	Capitolis Liquid Global Markets LLC publishes its 31 Jul 2026 Statement of Financial Condition at capitolis.com/regulatory-disclosures (semi-annual, free; the Jan-2026 edition appeared by early Apr). Record total assets and 'revolving loan facility from affiliate' and append to data/series.tsv; archive the PDF to data/vintages/capitolis/. Series so far: total assets 4.97 (Jan-24) / 8.80 / 10.31 / 13.09 / 19.70bn (Jan-26)	Whether the ABCP-funded equity-TRS book kept compounding through the Sept quarter-end the FT flagged — the D8 channel measured at the vehicle rather than the money-fund end	2026-08-24-Parcel-D8b-Conduit-Return.md section 2.2	OPEN
2026-09-12	DONE 12 Sep: 2026-09-12-N2c-Closure-Refresh-2026Q2.md. Fed still a net Treasury buyer (+97.8bn Q2 after +156.2bn Q1); MMFs selling harder (-144.9bn); NFC net EQUITY issuance positive a second quarter (+153.2bn). Z.1 2026Q2 release (~11 Sep): re-pull the full series package and refresh the N2c closure table (bin route documented in data/vintages/z1_closure/). Watch: (1) does the Fed's buying continue past Q1's +156bn; (2) do MMFs stay net sellers; (3) NFC net equity issuance was +31bn in Q1 — first positive quarter; if it holds, the buyback bid is rolling over; (4) H.8 NDFI loans (2,005bn Jul) monthly alongside ALSO P1 (RESEARCH_STATE section 5): in the same run pull F.223 and L.223 for every holder sector, and check that sector purchases sum to net issuance in each quarter.	Whether the 2026 funding regime (Fed + bank-to-NDFI money creation at the margin) persists into Q2 — the live version of the N2c closure	2026-08-29-N2c-The-Funding-Closure.md	done
2026-10-15	GENIUS Act rulemaking watch: Treasury's proposed rule of 18 Aug 2026 (docket TREAS-DO-2026-0496) and the FDIC/OCC/NCUA proposals — check federalregister.gov API for FINAL rules. When a final issuer-reporting rule lands, the monthly published reserve compositions become the first OFFICIAL stablecoin series; add to pull_series and retire reliance on DeFiLlama as sole aggregate	Whether engine 5 gets an official measurement regime — and whether the 2026 issuance stall persists through the transition	2026-08-29-D6-Stablecoins-Fifth-Cash-Pool.md section 2	OPEN
2026-09-25	QE SENTIMENT RUN 1. The first attempt (24 Sep) was blocked at X's sign-in wall (C-121). The principal switched both runs to PUBLIC WEB SOURCES on 25 Sep (E-015). Grok in Cursor, with web search, runs the rewritten Parcel_QE_Sentiment_25Sep_DRAFT_For_Grok.md before the 30 Sep turn (FINAL despite the filename). Neutral queries recorded verbatim; every item a direct post URL; balance of stress/quiet reported; ends with TIGHTER/SIMILAR/EASIER-than-June per question. Return -> _research/2026-09-25-QE-Sentiment-Run1.md. Supervisor opens a sample of URLs. | Same contact: also ship W3 firm-tax panel (C-097) + eps_split/panel (d3) — see _research/2026-09-22-Grok-Contact-25Sep-Panel-Asks.md; RUN1 still precedence.	Whether the quarter-end stress the June coverage warned about shows up in practitioner chatter before it shows up in the data	RESEARCH_STATE.md D8; 2026-08-23-FT-Harvest-ABCP-Conduits-And-Equity-Repo.md	OPEN
2026-10-01	QE SENTIMENT RUN 2 (Grok in Cursor, public web sources, as RUN 1 - E-015): re-run RUN 1's EXACT queries after the 30 Sep turn; score each RUN 1 call right/wrong/unscoreable against RUN 2 and the 30 Sep prints (SOFR/GC, ficc_sponsored_total_bn, actrix sponsored share, AXW basis, abcp_outstanding_bn). Return -> _research/2026-10-01-QE-Sentiment-Run2.md.	Whether the quarter-end stress the June coverage warned about shows up in practitioner chatter before it shows up in the data	RESEARCH_STATE.md D8; 2026-08-23-FT-Harvest-ABCP-Conduits-And-Equity-Repo.md	OPEN
2026-10-01	Revolver-drawdown scouting parcel. APPROVED by the principal 25 Sep (E-015); route: Grok in Cursor, to find sources whose citations must hold; the supervisor writes the brief by 30 Sep: under what conditions do NDFI credit lines get drawn en masse — the March-2020 dash-for-cash revolver precedent, Fed/FDIC work on committed-line drawdown rates, covenant triggers in capital-call facilities. Only worth sending AFTER the synthesis names the fragility question precisely; premature now	Sizes the sharpest fragility candidate from N2c §7: what draws the $987bn of undrawn NDFI commitments at once	2026-08-29-N2c-The-Funding-Closure.md §7	OPEN
2026-11-05	Run the XBRL repledge census for Q3 (frames API, tag FairValueOfSecuritiesReceivedAsCollateralThatCanBeResoldOrRepledged, CY2026Q3I) + hand-pull MS/BAC/BNY/Citi custom-tagged 10-Qs; append series rows	Quarterly refresh of the D10 utilization measurement; catches the Q3 window-dressing question D10R flagged	2026-08-30-D10-Reuse-On-The-Measured-Chain.md §6	OPEN
2026-09-18	DONE early 18 Sep — August edition landed. `bin/pull_series.py --only finra`: margin debit balances **$1,453.8bn** (Jul $1,417.2bn, +$36.6bn m/m); free credit cash $207.6bn; free credit margin $217.5bn. Dated vintage under data/vintages/finra/. Source file is overwritten monthly — archive kept. Prior row: AUTOMATED 22 Sep for AUGUST edition…	Whether retail/brokerage margin borrowing keeps rising alongside the conduit-funded institutional equity leverage of D8b	Shadow_Debt_Measurement_Handbook.md:5. RAN 31 Aug: Jul-2026 edition landed — margin debits 1,417.2bn	DONE
2026-09-17	DONE 17 Sep — TIC July published 16 Sep. CSLT foreign net US equities All Countries July $2.778bn (Jun $181.393bn). Table 5 end-July: Japan $1,103.9bn (−12.8); China $618.0bn (−15.4); Foreign Official $3,773.1bn (−5.0). Classic press-release equities net −$10.6bn not substituted for CSLT. Note: _research/2026-09-17-TIC-July-2026.md; extracts data/tic/.	Whether the Feb-Jun 2026 official decline Green cites (-233bn official, Japan -123bn) continues - the 'who buys Treasuries' test	2026-09-11-Who-Buys-Treasuries-Synthesis.md	DONE
2026-11-06	GPIF quarterly results for Jul-Sep 2026 (~early Nov; confirm the date on gpif.go.jp): actual domestic-bond weight vs the 25% target and the +/-6pt band; any change to the policy portfolio; the three sister funds if they report	Tests Japan Macro Advisors' 10 Sep call that GPIF moves toward a ~50% JGB weight (32-80trn yen of buying), funded by selling foreign bonds, >50% USD	2026-09-11-Who-Buys-Treasuries-Synthesis.md section 3	OPEN
2026-09-30	PUSHED BY MARTIN 14 Sep (E-005): 'we don't have anything interesting to tell him yet, push out by 2 weeks'. READY 12 Sep: v5 drafted, supervisor-reviewed and Grok-checked (SB2: 60 claims, 56 confirmed, 2 refuted and fixed) - Dropbox private/_research/2026-09-11-Singh-Briefing-Draft-v4.md (private since 24 Sep, E-011). SINGH BRIEFING DRAFT to the principal (ruling E-004): the supervisor-reviewed draft written to the spec in RESEARCH_STATE section 5 item 9, then the read-only Grok-in-Cursor pass, then Martin sends. The drafts in Dropbox private/_research/singh_briefing_drafts/ must NOT be sent	An external counterparty is waiting; a late reply is a colder one	RESEARCH_STATE.md section 5 item 9; THE_ASK.md E-004	OPEN
2026-09-30	TIMING TRAP, found 14 Sep: Amazon's Q3 10-Q is NOT due until late Oct/Nov, AFTER this window. So this row CANNOT be closed by reading a balance sheet on the 30th. The only same-day signal is an 8-K carrying Item 1.01 or 2.03 (a draw is a material definitive agreement) - as of 14 Sep none exists beyond the original 10 Jun facility 8-K. If no 8-K appears, mark UNRESOLVED and re-check at the Q3 10-Q, not 'expired unused'. Amazon's $17.5bn delayed-draw term loan: the single-draw window closes 30 Sep 2026 and the loan was UNDRAWN at 30 Jun. Check for an 8-K or the Q3 10-Q: drawn, expired, or replaced	The bank-credit leg of the AI build-out — whether a hyperscaler actually takes bank money, which is channel (a) funding capex directly	2026-09-12-F1-Funding-Table.md	OPEN
2026-09-26	MISSION READ-BACK. Paste the mission statement (THE_ASK.md canonical goal block, E-015) VERBATIM to the principal and ask whether it states the intent exactly. Record the answer as a new THE_ASK entry; if amended, change the goal block, CLAUDE.md, RESEARCH_STATE.md 0.0 and CHARTER.md in one pass and run bin/check.sh --goal	Whether the agent-worded mission is the principal's goal. Until confirmed it is marked read-back pending (E-000: an agent restating the goal cannot detect goal corruption)	THE_ASK.md E-015; E-000	OPEN
2026-10-16	GOAL READ-BACK (recurring, about three weeks after the last). Paste the canonical mission VERBATIM, with the entries it cites, and ask whether it still describes the intent	The only mechanism that has ever caught goal corruption (E-000)	THE_ASK.md E-000, E-015	OPEN
